Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
262,Star Sport ++,Local,5,13,30,92.5,Victor,5,Caliber,Local,5,10
263,Star Sport ++,Local,6,13,30,92.5,Victor,6,Caliber,Local,6,10
264,Star Sport ++,Local,7,13,30,92.5,Victor,7,Caliber,Local,7,10
265,Star Sport ++,STD,STD,13,30,92.5,Victor,STD,Caliber,STD,STD,10
266,Star Sport ++,STD,1,13,30,92.5,Victor,1,Caliber,STD,1,10
267,Star Sport ++,STD,2,13,30,92.5,Victor,2,Caliber,STD,2,10
268,Star Sport ++,STD,3,13,30,92.5,Victor,3,Caliber,STD,3,10
269,Star Sport ++,STD,4,13,30,92.5,Victor,4,Caliber,STD,4,10
270,Star Sport ++,STD,5,13,30,92.5,Victor,5,Caliber,STD,5,10
271,Star Sport ++,STD,6,13,30,92.5,Victor,6,Caliber,STD,6,10
272,Star Sport ++,STD,7,13,30,92.5,Victor,7,Caliber,STD,7,10
273,Star City ++,Local,STD,13,30,92.5,Victor,STD,Caliber,Local,STD,10
274,Star City ++,Local,1,13,30,92.5,Victor,1,Caliber,Local,1,10
275,Star City ++,Local,2,13,30,92.5,Victor,2,Caliber,Local,2,10
276,Star City ++,Local,3,13,30,92.5,Victor,3,Caliber,Local,3,10
277,Star City ++,Local,4,13,30,92.5,Victor,4,Caliber,Local,4,10
278,Star City ++,Local,5,13,30,92.5,Victor,5,Caliber,Local,5,10
279,Star City ++,Local,6,13,30,92.5,Victor,6,Caliber,Local,6,10
280,Star City ++,Local,7,13,30,92.5,Victor,7,Caliber,Local,7,10
281,Star City ++,STD,STD,13,30,92.5,Victor,STD,Caliber,STD,STD,10
282,Star City ++,STD,1,13,30,92.5,Victor,1,Caliber,STD,1,10
283,Star City ++,STD,2,13,30,92.5,Victor,2,Caliber,STD,2,10
284,Star City ++,STD,3,13,30,92.5,Victor,3,Caliber,STD,3,10
285,Star City ++,STD,4,13,30,92.5,Victor,4,Caliber,STD,4,10
286,Star City ++,STD,5,13,30,92.5,Victor,5,Caliber,STD,5,10
287,Star City ++,STD,6,13,30,92.5,Victor,6,Caliber,STD,6,10
288,Star City ++,STD,7,13,30,92.5,Victor,7,Caliber,STD,7,10
289,Wego / Jupiter,Local,STD,13,30,92.5,Wego,STD,Caliber,Local,STD,10
290,Wego / Jupiter,Local,1,13,30,92.5,Wego,1,Caliber,Local,1,10
291,Wego / Jupiter,Local,2,13,30,92.5,Wego,2,Caliber,Local,2,10
292,Wego / Jupiter,Local,3,13,30,92.5,Wego,3,Caliber,Local,3,10
293,Wego / Jupiter,Local,4,13,30,92.5,Wego,4,Caliber,Local,4,10
294,Wego / Jupiter,Local,5,13,30,92.5,Wego,5,Caliber,Local,5,10
295,Wego / Jupiter,Local,6,13,30,92.5,Wego,6,Caliber,Local,6,10
296,Wego / Jupiter,Local,7,13,30,92.5,Wego,7,Caliber,Local,7,10
297,Wego / Jupiter,STD,STD,13,30,92.5,Wego,STD,Caliber,STD,STD,10
298,Wego / Jupiter,STD,1,13,30,92.5,Wego,1,Caliber,STD,1,10
299,Wego / Jupiter,STD,2,13,30,92.5,Wego,2,Caliber,STD,2,10
300,Wego / Jupiter,STD,3,13,30,92.5,Wego,3,Caliber,STD,3,10
301,Wego / Jupiter,STD,4,13,30,92.5,Wego,4,Caliber,STD,4,10
302,Wego / Jupiter,STD,5,13,30,92.5,Wego,5,Caliber,STD,5,10
303,Wego / Jupiter,STD,6,13,30,92.5,Wego,6,Caliber,STD,6,10
304,Wego / Jupiter,STD,7,13,30,92.5,Wego,7,Caliber,STD,7,10
305,XL - 100,Local,STD,13,30,92.5,XL - 100,STD,Caliber,Local,STD,10
306,XL - 100,Local,1,13,30,92.5,XL - 100,1,Caliber,Local,1,10
307,XL - 100,Local,2,13,30,92.5,XL - 100,2,Caliber,Local,2,10
308,XL - 100,Local,3,13,30,92.5,XL - 100,3,Caliber,Local,3,10
309,XL - 100,Local,4,13,30,92.5,XL - 100,4,Caliber,Local,4,10
310,XL - 100,Local,5,13,30,92.5,XL - 100,5,Caliber,Local,5,10
311,XL - 100,Local,6,13,30,92.5,XL - 100,6,Caliber,Local,6,10
312,XL - 100,Local,7,13,30,92.5,XL - 100,7,Caliber,Local,7,10
313,XL - 100,STD,STD,13,30,92.5,XL - 100,STD,Caliber,STD,STD,10
314,XL - 100,STD,1,13,30,92.5,XL - 100,1,Caliber,STD,1,10
315,XL - 100,STD,2,13,30,92.5,XL - 100,2,Caliber,STD,2,10
316,XL - 100,STD,3,13,30,92.5,XL - 100,3,Caliber,STD,3,10
317,XL - 100,STD,4,13,30,92.5,XL - 100,4,Caliber,STD,4,10
318,XL - 100,STD,5,13,30,92.5,XL - 100,5,Caliber,STD,5,10
319,XL - 100,STD,6,13,30,92.5,XL - 100,6,Caliber,STD,6,10
320,XL - 100,STD,7,13,30,92.5,XL - 100,7,Caliber,STD,7,10
321,Activa - HET,Local,STD,13,30,92.5,HET,STD,HET,Local,STD,10
322,Activa - HET,Local,1,13,30,92.5,HET,1,HET,Local,1,10
323,Activa - HET,Local,2,13,30,92.5,HET,2,HET,Local,2,10
324,Activa - HET,Local,3,13,30,92.5,HET,3,HET,Local,3,10
325,Activa - HET,Local,4,13,30,92.5,HET,4,HET,Local,4,10
326,Activa - HET,Local,5,13,30,92.5,HET,5,HET,Local,5,10
327,Activa - HET,Local,6,13,30,92.5,HET,6,HET,Local,6,10
328,Activa - HET,Local,7,13,30,92.5,HET,7,HET,Local,7,10
329,Activa - HET,STD,STD,13,30,92.5,HET,STD,HET,STD,STD,10
330,Activa - HET,STD,1,13,30,92.5,HET,1,HET,STD,1,10
331,Activa - HET,STD,2,13,30,92.5,HET,2,HET,STD,2,10
332,Activa - HET,STD,3,13,30,92.5,HET,3,HET,STD,3,10
333,Activa - HET,STD,4,13,30,92.5,HET,4,HET,STD,4,10
334,Activa - HET,STD,5,13,30,92.5,HET,5,HET,STD,5,10
335,Activa - HET,STD,6,13,30,92.5,HET,6,HET,STD,6,10
336,Activa - HET,STD,7,13,30,92.5,HET,7,HET,STD,7,10
337,Activa - HET 125,Local,STD,13,30,92.5,HET,STD,HET,Local,STD,10
338,Activa - HET 125,Local,1,13,30,92.5,HET,1,HET,Local,1,10
339,Activa - HET 125,Local,2,13,30,92.5,HET,2,HET,Local,2,10
340,Activa - HET 125,Local,3,13,30,92.5,HET,3,HET,Local,3,10
341,Activa - HET 125,Local,4,13,30,92.5,HET,4,HET,Local,4,10
342,Activa - HET 125,Local,5,13,30,92.5,HET,5,HET,Local,5,10
343,Activa - HET 125,Local,6,13,30,92.5,HET,6,HET,Local,6,10
344,Activa - HET 125,Local,7,13,30,92.5,HET,7,HET,Local,7,10
345,Activa - HET 125,STD,STD,13,30,92.5,HET,STD,HET,STD,STD,10
346,Activa - HET 125,STD,1,13,30,92.5,HET,1,HET,STD,1,10
347,Activa - HET 125,STD,2,13,30,92.5,HET,2,HET,STD,2,10
348,Activa - HET 125,STD,3,13,30,92.5,HET,3,HET,STD,3,10
349,Activa - HET 125,STD,4,13,30,92.5,HET,4,HET,STD,4,10
350,Activa - HET 125,STD,5,13,30,92.5,HET,5,HET,STD,5,10
351,Activa - HET 125,STD,6,13,30,92.5,HET,6,HET,STD,6,10
352,Activa - HET 125,STD,7,13,30,92.5,HET,7,HET,STD,7,10
353,Twister,Local,STD,13,30,92.5,Twister,STD,HET,Local,STD,10
354,Twister,Local,1,13,30,92.5,Twister,1,HET,Local,1,10
355,Twister,Local,2,13,30,92.5,Twister,2,HET,Local,2,10
356,Twister,Local,3,13,30,92.5,Twister,3,HET,Local,3,10
357,Twister,Local,4,13,30,92.5,Twister,4,HET,Local,4,10
358,Twister,Local,5,13,30,92.5,Twister,5,HET,Local,5,10
359,Twister,Local,6,13,30,92.5,Twister,6,HET,Local,6,10
360,Twister,Local,7,13,30,92.5,Twister,7,HET,Local,7,10
361,Twister,STD,STD,13,30,92.5,Twister,STD,HET,STD,STD,10
362,Twister,STD,1,13,30,92.5,Twister,1,HET,STD,1,10
363,Twister,STD,2,13,30,92.5,Twister,2,HET,STD,2,10
364,Twister,STD,3,13,30,92.5,Twister,3,HET,STD,3,10
365,Twister,STD,4,13,30,92.5,Twister,4,HET,STD,4,10
366,Twister,STD,5,13,30,92.5,Twister,5,HET,STD,5,10
367,Twister,STD,6,13,30,92.5,Twister,6,HET,STD,6,10
368,Twister,STD,7,13,30,92.5,Twister,7,HET,STD,7,10
369,Dream Yuga,Local,STD,13,30,92.5,Twister,STD,HET,Local,STD,10
370,Dream Yuga,Local,1,13,30,92.5,Twister,1,HET,Local,1,10
371,Dream Yuga,Local,2,13,30,92.5,Twister,2,HET,Local,2,10
372,Dream Yuga,Local,3,13,30,92.5,Twister,3,HET,Local,3,10
373,Dream Yuga,Local,4,13,30,92.5,Twister,4,HET,Local,4,10
374,Dream Yuga,Local,5,13,30,92.5,Twister,5,HET,Local,5,10
375,Dream Yuga,Local,6,13,30,92.5,Twister,6,HET,Local,6,10
376,Dream Yuga,Local,7,13,30,92.5,Twister,7,HET,Local,7,10
377,Dream Yuga,STD,STD,13,30,92.5,Twister,STD,HET,STD,STD,10
378,Dream Yuga,STD,1,13,30,92.5,Twister,1,HET,STD,1,10
379,Dream Yuga,STD,2,13,30,92.5,Twister,2,HET,STD,2,10
380,Dream Yuga,STD,3,13,30,92.5,Twister,3,HET,STD,3,10
381,Dream Yuga,STD,4,13,30,92.5,Twister,4,HET,STD,4,10
382,Dream Yuga,STD,5,13,30,92.5,Twister,5,HET,STD,5,10
383,Dream Yuga,STD,6,13,30,92.5,Twister,6,HET,STD,6,10
384,Dream Yuga,STD,7,13,30,92.5,Twister,7,HET,STD,7,10
385,Activa 125 New,Local,STD,13,30,92.5,HET,STD,HET,Local,STD,10
386,Activa 125 New,Local,1,13,30,92.5,HET,1,HET,Local,1,10
387,Activa 125 New,Local,2,13,30,92.5,HET,2,HET,Local,2,10
388,Activa 125 New,Local,3,13,30,92.5,HET,3,HET,Local,3,10
389,Activa 125 New,Local,4,13,30,92.5,HET,4,HET,Local,4,10
390,Activa 125 New,Local,5,13,30,92.5,HET,5,HET,Local,5,10
391,Activa 125 New,Local,6,13,30,92.5,HET,6,HET,Local,6,10
392,Activa 125 New,Local,7,13,30,92.5,HET,7,HET,Local,7,10
393,Activa 125 New,STD,STD,13,30,92.5,HET,STD,HET,STD,STD,10
394,Activa 125 New,STD,1,13,30,92.5,HET,1,HET,STD,1,10
395,Activa 125 New,STD,2,13,30,92.5,HET,2,HET,STD,2,10
396,Activa 125 New,STD,3,13,30,92.5,HET,3,HET,STD,3,10
397,Activa 125 New,STD,4,13,30,92.5,HET,4,HET,STD,4,10
398,Activa 125 New,STD,5,13,30,92.5,HET,5,HET,STD,5,10
399,Activa 125 New,STD,6,13,30,92.5,HET,6,HET,STD,6,10
400,Activa 125 New,STD,7,13,30,92.5,HET,7,HET,STD,7,10
401,Platina ES,Local,STD,13,30,92.5,Victor,STD,HET,Local,STD,10
402,Platina ES,Local,1,13,30,92.5,Victor,1,HET,Local,1,10
403,Platina ES,Local,2,13,30,92.5,Victor,2,HET,Local,2,10
404,Platina ES,Local,3,13,30,92.5,Victor,3,HET,Local,3,10
405,Platina ES,Local,4,13,30,92.5,Victor,4,HET,Local,4,10
406,Platina ES,Local,5,13,30,92.5,Victor,5,HET,Local,5,10
407,Platina ES,Local,6,13,30,92.5,Victor,6,HET,Local,6,10
408,Platina ES,Local,7,13,30,92.5,Victor,7,HET,Local,7,10
409,Platina ES,STD,STD,13,30,92.5,Victor,STD,HET,STD,STD,10
410,Platina ES,STD,1,13,30,92.5,Victor,1,HET,STD,1,10
411,Platina ES,STD,2,13,30,92.5,Victor,2,HET,STD,2,10
412,Platina ES,STD,3,13,30,92.5,Victor,3,HET,STD,3,10
413,Platina ES,STD,4,13,30,92.5,Victor,4,HET,STD,4,10
414,Platina ES,STD,5,13,30,92.5,Victor,5,HET,STD,5,10
415,Platina ES,STD,6,13,30,92.5,Victor,6,HET,STD,6,10
416,Platina ES,STD,7,13,30,92.5,Victor,7,HET,STD,7,10
417,Livo,Local,STD,13,30,92.5,Caliber,STD,HET,Local,STD,10
418,Livo,Local,1,13,30,92.5,Caliber,1,HET,Local,1,10
419,Livo,Local,2,13,30,92.5,Caliber,2,HET,Local,2,10
420,Livo,Local,3,13,30,92.5,Caliber,3,HET,Local,3,10
421,Livo,Local,4,13,30,92.5,Caliber,4,HET,Local,4,10
422,Livo,Local,5,13,30,92.5,Caliber,5,HET,Local,5,10
423,Livo,Local,6,13,30,92.5,Caliber,6,HET,Local,6,10
424,Livo,Local,7,13,30,92.5,Caliber,7,HET,Local,7,10
425,Livo,STD,STD,13,30,92.5,Caliber,STD,HET,STD,STD,10
426,Livo,STD,1,13,30,92.5,Caliber,1,HET,STD,1,10
427,Livo,STD,2,13,30,92.5,Caliber,2,HET,STD,2,10
428,Livo,STD,3,13,30,92.5,Caliber,3,HET,STD,3,10
429,Livo,STD,4,13,30,92.5,Caliber,4,HET,STD,4,10
430,Livo,STD,5,13,30,92.5,Caliber,5,HET,STD,5,10
431,Livo,STD,6,13,30,92.5,Caliber,6,HET,STD,6,10
432,Livo,STD,7,13,30,92.5,Caliber,7,HET,STD,7,10
433,Hero Splendor BS6,Local,STD,13,30,92.5,Twister,STD,HET,Local,STD,10
434,Hero Splendor BS6,Local,1,13,30,92.5,Twister,1,HET,Local,1,10
435,Hero Splendor BS6,Local,2,13,30,92.5,Twister,2,HET,Local,2,10
436,Hero Splendor BS6,Local,3,13,30,92.5,Twister,3,HET,Local,3,10
437,Hero Splendor BS6,Local,4,13,30,92.5,Twister,4,HET,Local,4,10
438,Hero Splendor BS6,Local,5,13,30,92.5,Twister,5,HET,Local,5,10
439,Hero Splendor BS6,Local,6,13,30,92.5,Twister,6,HET,Local,6,10
440,Hero Splendor BS6,Local,7,13,30,92.5,Twister,7,HET,Local,7,10
441,Hero Splendor BS6,STD,STD,13,30,92.5,Twister,STD,HET,STD,STD,10
442,Hero Splendor BS6,STD,1,13,30,92.5,Twister,1,HET,STD,1,10
443,Hero Splendor BS6,STD,2,13,30,92.5,Twister,2,HET,STD,2,10
444,Hero Splendor BS6,STD,3,13,30,92.5,Twister,3,HET,STD,3,10
445,Hero Splendor BS6,STD,4,13,30,92.5,Twister,4,HET,STD,4,10
446,Hero Splendor BS6,STD,5,13,30,92.5,Twister,5,HET,STD,5,10
447,Hero Splendor BS6,STD,6,13,30,92.5,Twister,6,HET,STD,6,10
448,Hero Splendor BS6,STD,7,13,30,92.5,Twister,7,HET,STD,7,10
449,Destini - 125,Local,STD,13,30,92.5,HET,STD,HET,Local,STD,10
450,Destini - 125,Local,1,13,30,92.5,HET,1,HET,Local,1,10
451,Destini - 125,Local,2,13,30,92.5,HET,2,HET,Local,2,10
452,Destini - 125,Local,3,13,30,92.5,HET,3,HET,Local,3,10
453,Destini - 125,Local,4,13,30,92.5,HET,4,HET,Local,4,10
454,Destini - 125,Local,5,13,30,92.5,HET,5,HET,Local,5,10
455,Destini - 125,Local,6,13,30,92.5,HET,6,HET,Local,6,10
456,Destini - 125,Local,7,13,30,92.5,HET,7,HET,Local,7,10
457,Destini - 125,STD,STD,13,30,92.5,HET,STD,HET,STD,STD,10
458,Destini - 125,STD,1,13,30,92.5,HET,1,HET,STD,1,10
459,Destini - 125,STD,2,13,30,92.5,HET,2,HET,STD,2,10
460,Destini - 125,STD,3,13,30,92.5,HET,3,HET,STD,3,10
461,Destini - 125,STD,4,13,30,92.5,HET,4,HET,STD,4,10
462,Destini - 125,STD,5,13,30,92.5,HET,5,HET,STD,5,10
463,Destini - 125,STD,6,13,30,92.5,HET,6,HET,STD,6,10
464,Destini - 125,STD,7,13,30,92.5,HET,7,HET,STD,7,10
465,KB45,Local,STD,13,30,92.5,KB45,STD,KB45,Local,STD,10
466,KB45,Local,1,13,30,92.5,KB45,1,KB45,Local,1,10
467,KB45,Local,2,13,30,92.5,KB45,2,KB45,Local,2,10
468,KB45,Local,3,13,30,92.5,KB45,3,KB45,Local,3,10
469,KB45,Local,4,13,30,92.5,KB45,4,KB45,Local,4,10
470,KB45,Local,5,13,30,92.5,KB45,5,KB45,Local,5,10
471,KB45,Local,6,13,30,92.5,KB45,6,KB45,Local,6,10
472,KB45,Local,7,13,30,92.5,KB45,7,KB45,Local,7,10
473,KB45,STD,STD,13,30,92.5,KB45,STD,KB45,STD,STD,10
474,KB45,STD,1,13,30,92.5,KB45,1,KB45,STD,1,10
475,KB45,STD,2,13,30,92.5,KB45,2,KB45,STD,2,10
476,KB45,STD,3,13,30,92.5,KB45,3,KB45,STD,3,10
477,KB45,STD,4,13,30,92.5,KB45,4,KB45,STD,4,10
478,KB45,STD,5,13,30,92.5,KB45,5,KB45,STD,5,10
479,KB45,STD,6,13,30,92.5,KB45,6,KB45,STD,6,10
480,KB45,STD,7,13,30,92.5,KB45,7,KB45,STD,7,10
481,D - 100 Old,Local,STD,13,30,92.5,D - 100,STD,KB45,Local,STD,10
482,D - 100 Old,Local,1,13,30,92.5,D - 100,1,KB45,Local,1,10
483,D - 100 Old,Local,2,13,30,92.5,D - 100,2,KB45,Local,2,10
484,D - 100 Old,Local,3,13,30,92.5,D - 100,3,KB45,Local,3,10
485,D - 100 Old,Local,4,13,30,92.5,D - 100,4,KB45,Local,4,10
486,D - 100 Old,Local,5,13,30,92.5,D - 100,5,KB45,Local,5,10
487,D - 100 Old,Local,6,13,30,92.5,D - 100,6,KB45,Local,6,10
488,D - 100 Old,Local,7,13,30,92.5,D - 100,7,KB45,Local,7,10
489,D - 100 Old,STD,STD,13,30,92.5,D - 100,STD,KB45,STD,STD,10
490,D - 100 Old,STD,1,13,30,92.5,D - 100,1,KB45,STD,1,10
491,D - 100 Old,STD,2,13,30,92.5,D - 100,2,KB45,STD,2,10
492,D - 100 Old,STD,3,13,30,92.5,D - 100,3,KB45,STD,3,10
493,D - 100 Old,STD,4,13,30,92.5,D - 100,4,KB45,STD,4,10
494,D - 100 Old,STD,5,13,30,92.5,D - 100,5,KB45,STD,5,10
495,D - 100 Old,STD,6,13,30,92.5,D - 100,6,KB45,STD,6,10
496,D - 100 Old,STD,7,13,30,92.5,D - 100,7,KB45,STD,7,10
497,D - 100 New,Local,STD,13,30,92.5,D - 100,STD,KB45,Local,STD,10
498,D - 100 New,Local,1,13,30,92.5,D - 100,1,KB45,Local,1,10
499,D - 100 New,Local,2,13,30,92.5,D - 100,2,KB45,Local,2,10
500,D - 100 New,Local,3,13,30,92.5,D - 100,3,KB45,Local,3,10
501,D - 100 New,Local,4,13,30,92.5,D - 100,4,KB45,Local,4,10
502,D - 100 New,Local,5,13,30,92.5,D - 100,5,KB45,Local,5,10
503,D - 100 New,Local,6,13,30,92.5,D - 100,6,KB45,Local,6,10
504,D - 100 New,Local,7,13,30,92.5,D - 100,7,KB45,Local,7,10
505,D - 100 New,STD,STD,13,30,92.5,D - 100,STD,KB45,STD,STD,10
506,D - 100 New,STD,1,13,30,92.5,D - 100,1,KB45,STD,1,10
507,D - 100 New,STD,2,13,30,92.5,D - 100,2,KB45,STD,2,10
508,D - 100 New,STD,3,13,30,92.5,D - 100,3,KB45,STD,3,10
509,D - 100 New,STD,4,13,30,92.5,D - 100,4,KB45,STD,4,10
510,D - 100 New,STD,5,13,30,92.5,D - 100,5,KB45,STD,5,10
511,D - 100 New,STD,6,13,30,92.5,D - 100,6,KB45,STD,6,10
512,D - 100 New,STD,7,13,30,92.5,D - 100,7,KB45,STD,7,10
513,Piago Vespa,Local,STD,13,30,92.5,Vespa,STD,Unicorn,Local,STD,10
514,Piago Vespa,Local,1,13,30,92.5,Vespa,1,Unicorn,Local,1,10
515,Piago Vespa,Local,2,13,30,92.5,Vespa,2,Unicorn,Local,2,10
516,Piago Vespa,Local,3,13,30,92.5,Vespa,3,Unicorn,Local,3,10
517,Piago Vespa,Local,4,13,30,92.5,Vespa,4,Unicorn,Local,4,10
518,Piago Vespa,Local,5,13,30,92.5,Vespa,5,Unicorn,Local,5,10
519,Piago Vespa,Local,6,13,30,92.5,Vespa,6,Unicorn,Local,6,10
520,Piago Vespa,Local,7,13,30,92.5,Vespa,7,Unicorn,Local,7,10
521,Piago Vespa,STD,STD,13,30,92.5,Vespa,STD,Unicorn,STD,STD,10
522,Piago Vespa,STD,1,13,30,92.5,Vespa,1,Unicorn,STD,1,10
523,Piago Vespa,STD,2,13,30,92.5,Vespa,2,Unicorn,STD,2,10
524,Piago Vespa,STD,3,13,30,92.5,Vespa,3,Unicorn,STD,3,10
525,Piago Vespa,STD,4,13,30,92.5,Vespa,4,Unicorn,STD,4,10
526,Piago Vespa,STD,5,13,30,92.5,Vespa,5,Unicorn,STD,5,10
527,Piago Vespa,STD,6,13,30,92.5,Vespa,6,Unicorn,STD,6,10
528,Piago Vespa,STD,7,13,30,92.5,Vespa,7,Unicorn,STD,7,10
529,Ambition,Local,STD,13,30,92.5,Ambition,STD,Unicorn,Local,STD,10
530,Ambition,Local,1,13,30,92.5,Ambition,1,Unicorn,Local,1,10
531,Ambition,Local,2,13,30,92.5,Ambition,2,Unicorn,Local,2,10
532,Ambition,Local,3,13,30,92.5,Ambition,3,Unicorn,Local,3,10
533,Ambition,Local,4,13,30,92.5,Ambition,4,Unicorn,Local,4,10
534,Ambition,Local,5,13,30,92.5,Ambition,5,Unicorn,Local,5,10
535,Ambition,Local,6,13,30,92.5,Ambition,6,Unicorn,Local,6,10
536,Ambition,Local,7,13,30,92.5,Ambition,7,Unicorn,Local,7,10
537,Ambition,STD,STD,13,30,92.5,Ambition,STD,Unicorn,STD,STD,10
538,Ambition,STD,1,13,30,92.5,Ambition,1,Unicorn,STD,1,10
539,Ambition,STD,2,13,30,92.5,Ambition,2,Unicorn,STD,2,10
540,Ambition,STD,3,13,30,92.5,Ambition,3,Unicorn,STD,3,10
541,Ambition,STD,4,13,30,92.5,Ambition,4,Unicorn,STD,4,10
542,Ambition,STD,5,13,30,92.5,Ambition,5,Unicorn,STD,5,10
543,Ambition,STD,6,13,30,92.5,Ambition,6,Unicorn,STD,6,10
544,Ambition,STD,7,13,30,92.5,Ambition,7,Unicorn,STD,7,10
