Conrod name ,C/D,B/E,S/E,Pin&Length,Bearing 
Hero Honda,,,,Hero Honda,Hero Honda
Activa old ,,30,13,Activa,Hero Honda
Activa 110,92.5,30,13,Activa,Hero Honda
Maestro-Edge,,,,Activa,Hero Honda
Pep plus ,,,,Pep Plus,Hero Honda
Star City,,,,Star City,Hero Honda
Centra,,,,Centra,Hero Honda
Super Splendor ,,,,Hero Honda,Hero Honda
i-Smart ,,,,Hero Honda,Hero Honda
Hayeat,,,,Star City,Hero Honda
Caliber,,,,Caliber,Caliber
CT-100,,,,Caliber,Caliber
Duro,,,,Duro,Caliber
Super Splendor  New,,,,Twister,Caliber
Victor GL,,,,Victor,Caliber
Star Sport,,,,Victor,Caliber
Star Sport  ++,,,,Victor,Caliber
Star City  ++,,,,Victor,Caliber
Wego / Jupiter,,,,Wego,Caliber
XL - 100,,,,XL - 100,Caliber
Activa - HET,,,,HET,HET
Activa - HET 125,,,,HET,HET
Twister,,,,Twister,HET
Dream Yuga,,,,Twister,HET
Activa 125 New,,,,HET,HET
Platina ES,,,,Victor,HET
Livo,,,,Caliber,HET
Hero Splendor BS6,,,,Twister,HET
Destini - 125,,,,HET,HET
KB45,,,,KB45,KB45
D - 100 Old,,,,D - 100,KB45
D - 100 New,,,,D - 100,KB45
Piago Vespa,,,,Vespa,Unicorn
Ambition,,,,Ambition,Unicorn
FZ - 6,,,,Unicorn,Unicorn
Guesto,,,,Guesto,Unicorn
Shine,,,,Unicorn,Unicorn
Unicorn,,,,Unicorn,Unicorn
Unicorn - 160,,,,Unicorn,Unicorn
R15,,,,R15,28*35*16
Victor GLX,,,,GLX,XCD -125
N - Torq,,,,N - Troq,XCD -125
TVS  Pheonix ,,,,GLX,XCD -125
Victor 3 Valve,,,,GLX,XCD -125
Discover 125,,,,Discover 125,XCD -125
Discover 135,,,,Discover 125,XCD -125
Pulsar AS - 150,,,,Pulsar AS - 150,XCD -135
XCD 135,,,,XCD 135,XCD -135
RX - 100,,,,RX 100,RX - 100
RXG,,,,RX 100,RX - 100
SZ X - 100,,,,SZ X - 100,SZ X - 100
XL - Super,,,,XL - Super,XL - Super
XT,,,,XL - Super,XL - Super
CBZ,,,,CBZ,Pulsar 180
Karizma,,,,Karizma,Pulsar 180
Pulsar 150,,,,Pulsar 150,Pulsar 150
Pulsar 180,,,,Pulsar 150,Pulsar 180
B Compact,,,,Pulsar 150,Pulsar 180
Maxima ,,,,Pulsar 150,Pulsar 180
Pulsar UG5 / BS6,,,,Pulsar 150,Pulsar 150
CNG Auto,,,,CNG,Pulsar 150
Access Old,,,,Access,Access
SZ Heat,,,,SZ Heat,Access
Apache RTR - 160,,,,Apache RTR,Fiero
Apache RTR - 180,,,,Apache RTR,Fiero
Aviator,,,,SZ Heat,Access
Gixxer,,,,Gixxer,XCD -125
Adreno,,,,Adreno,Adreno
Crux,,,,Crux,Crux
Fiero,,,,Fiero,Fiero
K Nova,,,,K Nova,Crux
Pep,,,,Pep ,Pep
YBX,,,,YBX,YBX
Yamaha Gladiator,,,,,
Digital 135,,,,,
CBZ - Extreme,,,,,
Yamaha Ray ,,,,RAY,Fascino
Fascino,,,,Fascino,Fascino
XCD - 125,,,,XCD 125,XCD -125
TVS king,,,,,
Platina - 125,,,,XCD 125,XCD -125
H / Eterno,,,,,
Achiever ,,,,,